ID,Name,Votes,Description,Date,Status,URL
WEBFLOW-I-5385,Logic,2811,Hey everyone!  As of today the waitlist for Logic is now cleared and we’ll be accepting new cohorts on a rolling-basis. To get on the list for an upcoming cohort you can apply at https://webflow.com/logic.  Logic unlocks new ways for you to: Activate actions based on triggers or conditions Capture store and sync customer and CMS data Trigger customized emails and reference dynamic data from your Webflow CMS and third-party sources Leverage custom HTTP blocks natively in Webflow and more  Excited to learn more about Logic? Register/watch our Logic livestream by clicking here.  As a reminder Logic is still in beta. Additional functionality will be rolled out on a continuous basis and your feedback is incredibly valuable as we get closer to our full release.  (*A valid Webflow account email will be needed to get access) Already building with Logic? Join our Logic beta space in our Webflow Insiders Community by clicking here.,13/09/2022,In beta,https://wishlist.webflow.com/ideas/WEBFLOW-I-5385
DESIGNER-I-11,User login and membership functionality,9685,Allow users to sign up on your websites with a username & password. Enable/disable access to content/pages for different user types.,16/12/2016,In beta,https://wishlist.webflow.com/ideas/DESIGNER-I-11
WEBFLOW-I-58,Multi-language sites and CMS fields,7374,Each page and CMS entry is translatable. When creating fields for a Collection mark whether that field is translatable (some fields won't need translation like references to other collections price fields etc). An option for Links should be added to choose a language (in addition to external links pages within the site etc).,18/01/2017,In progress,https://wishlist.webflow.com/ideas/WEBFLOW-I-58
WEBFLOW-I-3429,European Hosting to comply with GDPR,2844,I have several clients in Europe (germany and switzerland) and I love Webflow but they are all very concerned with data privacy and complying to GDPR. Especially now with the current privacy shield solutions. Please please work on an European hosting so you don't loose valuable customers. I see this issue popping up on so many webflow groups (facebook).  More and more freelancers as well as agencies are moving back to WordPress bc of that significant issue.,21/10/2020,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3429
WEBFLOW-I-6089,Drag drop & reorder collection items,2,The CMS will be so much more user friendly if you could just Drag drop & reorder collection items.,26/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6089
DESIGNER-I-13,Webflow Desktop / Offline Application,4764,Create a desktop/offline version of Webflow to be used when traveling or with bad internet connections.,16/12/2016,Reviewed,https://wishlist.webflow.com/ideas/DESIGNER-I-13
WEBFLOW-I-59,Real-time filtering/sorting on website (Faceted navigation),3915,It would be great to be able to easily create a robust portfolio with real-time filters. For example if you are a photographer then an image gallery with filter categories such as landscape portraits street photography etc... Upon clicking on the filter only the specific category items appear. This is very common with wordpress portfolio sites but its extremely difficult to set up in webflow.,18/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-59
WEBFLOW-I-94,CMS Slider,3411,It would be awesome to have a dynamic slider component with the ability to filter the number of slides ordering them etc.,18/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-94
WEBFLOW-I-893,Ability to style CSS Combinators: combo classes pseudo classes nested classes,2640,When I add a css class and then add another css class on top of it the resulting css rule in the code is a compound rule. Most of the time this is fine but there are times I need the two rules to be separate. Please expand on the css layering by giving us granular options for creating single-class or compound rules and maybe even some complex bits like parent/sibling selectors or ":" suffix rules. Mainly if I've got two elements and one's got classes A->B->D while the other's got classes A->C->D I don't want to have to define D twice like I do now.,20/09/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-893
WEBFLOW-I-2614,Setting Up Google AMP (Accelerated Mobile Pages) Framework with Webflow Site.,1440,It is clear that majority of traffic websites receive come from mobile. According to Neil Patel an SEO Digital Marketer 58% of Google searches now happen on mobile. Websites today are not simply about great design rather it is about how much traffic that site is able to generate. The main reason why businesses want a website is because they feel that is is a great way for them to maximize online traffic which could ultimately maximize profit. Of course there are ways to optimize your content for mobile without the Google AMP Framework for example by reducing the amount and size of assets on mobile view-ports taking a mobile-first approach during design and implementing on-page SEO. Webflow also provides ways to enhance site performance with CDNs and Code Minification. However Google's AMP Framework actually helps ensure that your site is mobile friendly for users without any guessing work according to specific details Google finds to be of best practice. This is important because we want our and our clients' websites in mobile viewports to be completely optimized for Google's search engine. Furthermore Google has a mobile-first index for crawling websites on the web. The mobile-first index is a ranking system that looks at the mobile version of a page to evaluate its relevance to the user. Google also showcases websites on its SERP (Search Engine Results Page) that are AMP friendly. Obviously there are many ranking factors that come into play when Google determines how your site should be ranked on its SERP however the simple fact that most conversions happen on mobile (whether that be a successful transaction on a client's e-comers site or a sign up for a blogger's site) giving users the chance to optimize their site through Google's AMP framework gives us an even greater edge for Google rankings. Wordpress already has easy implementation of this but I would love to see this in Webflow. Webflow has already made it super simple to setup Google Analytics with a Webflow site. Let's keep going and help develop Webflow to be a platform that's not only great for amazing web design but also for Google Search Optimization which in turn would be great for more conversions and ultimately more profit.   Check out the links for further information: 5 Clever Hacks to Skyrocket Your Mobile Organic Search Traffic - by Neil Patel:https://www.youtube.com/watch?v=pdBBG4aRldI Page Speed AMPs and PWAs - by SEMRush Academy: https://www.youtube.com/watch?v=heWzUfItSNI&feature=emb_title,27/02/2020,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-2614
